,eer_ignorant,eer_ignorant,eer_lazy-informed,eer_lazy-informed
,mean,std,mean,std
num_of_enrolls,,,,
5,28.03564247620076,0.9016570853535913,16.698612862547286,0.974882169865833
10,27.808872343331604,0.702596852197072,15.719510451971116,0.6884847053560296
15,27.668694273888967,0.9707916460541605,15.561604848469445,0.7264881585658782
20,27.713703977815964,0.590761737740248,15.208670959052917,0.7248472985019263
25,27.62215354121866,0.7029301011993285,15.140603708138906,0.634023264771427
30,27.603139561846252,0.6984282913291867,15.022390501268971,0.5223973275901836
35,27.476734398277113,0.8116039531660821,15.01368079003624,0.8039920260825528
40,27.657386260764053,0.7753185481431956,14.943745811111707,0.7603357027104923
45,27.643025719377036,0.9175499391878186,14.870301917597617,0.7769970976851195
50,27.46949536403226,0.7347859639691672,14.89787212415944,0.692408701300084
55,27.46173222243751,0.8685290617101938,14.86363679678293,0.6143784596983918
60,27.559263835639936,0.7621568556789315,14.86588569377519,0.6670276667562945
65,27.41555677670803,0.845727525005485,14.720279142750957,0.7377292761169384
70,27.53848059691062,0.8211734396476383,14.865510877609813,0.7355504154678707
75,27.503953039981447,0.7205935604049784,14.789127790077535,0.7357042199463472
80,27.560737689035992,0.6760182559084644,14.686720390317031,0.6910911017560805
85,27.44699368847694,0.6971334505932532,14.742275769405468,0.8062714100194873
90,27.539261993323183,0.83498793283698,14.845445507129444,0.7660439237297613
95,27.50646399064865,0.8730711939533373,14.767452510050681,0.691279910995072
100,27.578427106196852,0.7482678118420371,14.824878264156455,0.6103539797296179
