,eer_ignorant,eer_ignorant,eer_lazy-informed,eer_lazy-informed
,mean,std,mean,std
num_of_enrolls,,,,
10,27.808872343331604,0.702596852197072,15.719510451971116,0.6884847053560296
20,27.713703977815964,0.590761737740248,15.208670959052917,0.7248472985019263
30,27.603139561846252,0.6984282913291867,15.022390501268971,0.5223973275901836
40,27.657386260764053,0.7753185481431956,14.943745811111707,0.7603357027104923
50,27.46949536403226,0.7347859639691672,14.89787212415944,0.692408701300084
60,27.559263835639936,0.7621568556789315,14.86588569377519,0.6670276667562945
70,27.53848059691062,0.8211734396476383,14.865510877609813,0.7355504154678707
80,27.560737689035992,0.6760182559084644,14.686720390317031,0.6910911017560805
90,27.539261993323183,0.83498793283698,14.845445507129444,0.7660439237297613
100,27.578427106196852,0.7482678118420371,14.824878264156455,0.6103539797296179
