,eer_ignorant,eer_ignorant,eer_lazy-informed,eer_lazy-informed
,mean,std,mean,std
num_of_speakers,,,,
50,28.055782312925167,3.216281639246095,14.470748299319723,1.8685369030525087
100,26.623569023569022,2.750106080865383,14.601010101010099,2.659636432382034
150,26.559284116331092,1.496347605261433,15.56976024224346,1.2083337543564054
200,26.59715242881072,1.7620261595438573,15.523019459714677,1.4569383942662648
250,27.776974564926373,1.8883821524831863,15.541616045421215,1.0668579724639586
300,26.862541806020065,1.584424545044128,14.86594458099958,1.0015177330651603
350,26.94018283531177,1.030014806843643,15.353797934413356,1.073255000620599
400,27.067314118629906,0.86675231789775,15.394599799402993,0.9378911677892303
450,27.21542522477934,0.956681670156799,14.94650633016592,0.7402133914636885
500,27.180975283901134,0.5993922719549241,15.042283712851749,0.7635186595747129
550,27.41914224209306,0.8077975999588369,15.13686731413923,0.7122097384315142
600,26.993776664811723,0.8081011883623416,15.230534313089931,0.560878540299902
650,27.05169293982853,0.9477957018214526,15.12314125797615,0.7250018459528548
700,27.071265072552624,0.7802108796076984,15.359602827160481,0.5183544914217981
750,27.012372051624386,0.6926792768696688,15.252414861844082,0.641933992314032
800,27.20258135168961,0.7238184731301383,15.166904465769864,0.6530168577183372
850,27.01332594286242,0.7986203822830136,15.189424691259452,0.5942083297628549
900,26.97746055287768,0.6527550930608512,15.004703801299636,0.5276095524863597
950,27.127824302589982,0.705852541534689,15.322582559175885,0.6415690073730518
1000,26.981017684351016,0.6094422190688903,15.17618117072575,0.4713380003638472
